Recipe Name,Ingredients,Instructions,Cuisine,Prep Time,Cook Time,Servings
"Sauce Graine","Graines de palme, viande de bœuf, poisson fumé, escargots, piment, aubergine, huile, sel","Cuire les graines et extraire le jus. Mijoter avec viande, poisson et escargots. Ajouter huile et assaisonner.","Ivoirienne","40 min","60 min","6"
"Attiéké Poisson","Attiéké, poisson frit, tomate, oignon, piment, huile, sel","Préparer l'attiéké à la vapeur. Frire le poisson avec huile. Accompagner de sauce tomate-oignon.","Ivoirienne","30 min","20 min","4"
"Kedjenou de Poulet","Poulet, tomate, oignon, piment, aubergine, huile, sel","Mettre tous les ingrédients dans une marmite fermée. Laisser cuire à l'étouffée sans eau.","Ivoirienne","25 min","1h","5"
"Sauce Claire","Poisson frais, tomate, aubergine, gombo, huile, sel","Faire une sauce légère avec poisson et légumes. Ajouter huile en fin de cuisson.","Ivoirienne","20 min","40 min","5"
"Sauce Aubergine","Aubergines, poisson fumé, viande, tomate, piment, huile, sel","Écraser les aubergines. Cuire avec poisson fumé et viande. Ajouter huile.","Ivoirienne","30 min","50 min","6"
"Foutou Banane","Banane plantain, igname, huile, sel","Cuire banane et igname. Piler ensemble. Ajouter huile pour lisser la pâte.","Ivoirienne","20 min","40 min","4"
"Alloco","Banane plantain mûre, huile, sel","Couper la banane en rondelles. Frire dans huile chaude jusqu'à dorure.","Ivoirienne","10 min","15 min","3"
"Garba","Attiéké, thon frit, piment, tomate, oignon, huile, sel","Frire le thon avec huile. Servir avec attiéké, oignons et piment.","Ivoirienne","20 min","20 min","4"
"Sauce Gombo","Gombo, viande, poisson fumé, tomate, piment, huile, sel","Cuire viande et poisson. Ajouter gombo coupé. Assaisonner et finir avec huile.","Ivoirienne","25 min","50 min","6"
"Placali Sauce Graine","Placali, sauce graine, poisson, viande, huile, sel","Préparer sauce graine avec huile. Servir chaud avec placali.","Ivoirienne","40 min","60 min","6"
