title,description,short_description,ingredient_1_name,ingredient_1_quantity,ingredient_1_unit,ingredient_2_name,ingredient_2_quantity,ingredient_2_unit,instruction_1,instruction_2,instruction_3,preparation_time,cooking_time,servings,difficulty,meal_type,diet_type,category,tag_1,tag_2,is_featured,is_published,Recipe Name,Ingredients,Instructions,Cuisine,Prep Time,Cook Time,Total Time,Servings
Riz au Gras Ivoirien,Un délicieux plat traditionnel de Côte d'Ivoire,Riz traditionnel ivoirien savoureux,Riz jasmin,2.0,tasses,Huile de palme,200.0,ml,Faire revenir les oignons avec l'huile,"Ajouter la viande et les tomates, laisser mijoter",Incorporer le riz et cuire 30 minutes,20.0,45.0,6.0,medium,lunch,none,Plats Principaux,riz,ivoirien,True,True,,,,,,,,
Attieké aux Crevettes,Spécialité ivoirienne à base de manioc,Attieké parfumé aux crevettes,Attieké,400.0,g,Crevettes,250.0,g,Hydrater l'attieké à la vapeur,Sauter les crevettes avec les légumes,Mélanger et servir chaud,15.0,20.0,4.0,easy,lunch,none,Poissons et Fruits de Mer,attieké,crevettes,True,False,,,,,,,,
Placali à la Sauce Arachide,Plat traditionnel avec pâte de manioc,Placali accompagné d'une sauce arachide,Placali,500.0,g,Pâte d'arachide,200.0,g,Préparer la pâte de manioc,Cuire la sauce arachide avec la viande,Servir chaud avec le placali,30.0,60.0,8.0,hard,dinner,none,Plats Traditionnels,placali,arachide,True,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Sauce Graine,"Graines de palme, viande de bœuf, poisson fumé, escargots, piment, aubergine, Dinor - Huile Dinor, sel","Cuire les graines, extraire le jus, mijoter avec viande, poisson et escargots. Ajouter huile Dinor et assaisonner.",Ivoirienne,40 min,60 min,1h40,6
,,,,,,,,,,,,,,,,,,,,,,,Attiéké Poisson,"Attiéké, poisson frit, tomate, oignon, piment, Dinor - Huile Dinor, sel","Préparer l’attiéké, frire le poisson avec huile Dinor, accompagner de sauce tomate-oignon.",Ivoirienne,30 min,20 min,50 min,4
,,,,,,,,,,,,,,,,,,,,,,,Kedjenou de Poulet,"Poulet, tomate, oignon, piment, aubergine, Dinor - Huile Dinor, sel","Mettre tous les ingrédients dans une marmite fermée, laisser cuire à l’étouffée avec huile Dinor sans eau.",Ivoirienne,25 min,1h,1h25,5
,,,,,,,,,,,,,,,,,,,,,,,Sauce Claire,"Poisson frais, tomate, aubergine, gombo, Dinor - Huile Dinor, sel","Faire une sauce légère avec poisson et légumes, ajouter huile Dinor en fin de cuisson.",Ivoirienne,20 min,40 min,1h,5
,,,,,,,,,,,,,,,,,,,,,,,Sauce Aubergine,"Aubergines, poisson fumé, viande, tomate, piment, Dinor - Huile Dinor, sel","Écraser les aubergines, cuire avec poisson fumé et viande, ajouter huile Dinor.",Ivoirienne,30 min,50 min,1h20,6
,,,,,,,,,,,,,,,,,,,,,,,Foutou Banane,"Banane plantain, igname, Dinor - Huile Dinor, sel","Cuire banane et igname, piler ensemble. Ajouter huile Dinor pour lisser la pâte.",Ivoirienne,20 min,40 min,1h,4
,,,,,,,,,,,,,,,,,,,,,,,Alloco,"Banane plantain mûre, Dinor - Huile Dinor, sel","Couper la banane en rondelles, frire dans huile Dinor chaude jusqu’à dorure.",Ivoirienne,10 min,15 min,25 min,3
,,,,,,,,,,,,,,,,,,,,,,,Garba,"Attiéké, thon frit, piment, tomate, oignon, Dinor - Huile Dinor, sel","Frire le thon avec huile Dinor, servir avec attiéké, oignons et piment.",Ivoirienne,20 min,20 min,40 min,4
,,,,,,,,,,,,,,,,,,,,,,,Sauce Gombo,"Gombo, viande, poisson fumé, tomate, piment, Dinor - Huile Dinor, sel","Cuire viande et poisson, ajouter gombo coupé, assaisonner, finir avec huile Dinor.",Ivoirienne,25 min,50 min,1h15,6
,,,,,,,,,,,,,,,,,,,,,,,Placali Sauce Graine,"Placali, sauce graine, poisson, viande, Dinor - Huile Dinor, sel","Préparer sauce graine avec huile Dinor, servir chaud avec placali.",Ivoirienne,40 min,60 min,1h40,6
